register,address,chip,chipset_variant,chipset_revisions,width_bits,access,io,interrupt,relationship_to_other_chips,notes,manual_nodes
DMACONR,0xDFF002,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,,,Set/clear style; master DMA + per-channel bits.,node002F
DMACON,0xDFF096,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,,,Set/clear style; master DMA + per-channel bits.,node002F
VPOSR,0xDFF004,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,,,Beam position counter high bits; LOF interlace flag; used by Copper waits/skips and light pen.,node015F;node004B;node004C;node004D
VHPOSR,0xDFF006,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,,,Beam position counter low bits; used by Copper waits/skips and light pen; horizontal resolution 1/160 screen.,node015F;node004B;node004C;node004D
VPOSW,0xDFF02A,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,,,Beam position counter high bits; LOF interlace flag; used by Copper waits/skips and light pen.,node015F;node004B;node004C;node004D
VHPOSW,0xDFF02C,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,,,Beam position counter low bits; used by Copper waits/skips and light pen; horizontal resolution 1/160 screen.,node015F;node004B;node004C;node004D
DIWSTRT,0xDFF08E,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,,,Display window start/stop; lowres coords; even addresses; interlace/overscan interactions.,node0083;node0071
DIWSTOP,0xDFF090,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,,,Display window start/stop; lowres coords; even addresses; interlace/overscan interactions.,node0083;node0071
DDFSTRT,0xDFF092,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,,,Data fetch start/stop; align to color clocks; AGA has extended fetch range.,node0083
DDFSTOP,0xDFF094,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,,,Data fetch start/stop; align to color clocks; AGA has extended fetch range.,node0083
