register,address,chip,chipset_variant,chipset_revisions,width_bits,access,io,interrupt,relationship_to_other_chips,notes,manual_nodes
BLTCON0,0xDFF040,blitter,OCS/ECS blitter (AGA: Alice-integrated blitter),OCS/ECS blitter (AGA: Alice-integrated blitter) (common),16,rw,chip-register,INTF_BLIT,Agnus DMA,Blitter control/pointers; use minterms and modulos carefully.,node001B;node001F
BLTCON1,0xDFF042,blitter,OCS/ECS blitter (AGA: Alice-integrated blitter),OCS/ECS blitter (AGA: Alice-integrated blitter) (common),16,rw,chip-register,INTF_BLIT,Agnus DMA,Blitter control/pointers; use minterms and modulos carefully.,node001B;node001F
BLTAFWM,0xDFF044,blitter,OCS/ECS blitter (AGA: Alice-integrated blitter),OCS/ECS blitter (AGA: Alice-integrated blitter) (common),16,rw,chip-register,INTF_BLIT,Agnus DMA,Blitter control/pointers; use minterms and modulos carefully.,node001B;node001F
BLTALWM,0xDFF046,blitter,OCS/ECS blitter (AGA: Alice-integrated blitter),OCS/ECS blitter (AGA: Alice-integrated blitter) (common),16,rw,chip-register,INTF_BLIT,Agnus DMA,Blitter control/pointers; use minterms and modulos carefully.,node001B;node001F
BLTCPTH,0xDFF048,blitter,OCS/ECS blitter (AGA: Alice-integrated blitter),OCS/ECS blitter (AGA: Alice-integrated blitter) (common),16,rw,chip-register,INTF_BLIT,Agnus DMA,Blitter control/pointers; use minterms and modulos carefully.,node001B;node001F
BLTCPTL,0xDFF04A,blitter,OCS/ECS blitter (AGA: Alice-integrated blitter),OCS/ECS blitter (AGA: Alice-integrated blitter) (common),16,rw,chip-register,INTF_BLIT,Agnus DMA,Blitter control/pointers; use minterms and modulos carefully.,node001B;node001F
BLTBPTH,0xDFF04C,blitter,OCS/ECS blitter (AGA: Alice-integrated blitter),OCS/ECS blitter (AGA: Alice-integrated blitter) (common),16,rw,chip-register,INTF_BLIT,Agnus DMA,Blitter control/pointers; use minterms and modulos carefully.,node001B;node001F
BLTBPTL,0xDFF04E,blitter,OCS/ECS blitter (AGA: Alice-integrated blitter),OCS/ECS blitter (AGA: Alice-integrated blitter) (common),16,rw,chip-register,INTF_BLIT,Agnus DMA,Blitter control/pointers; use minterms and modulos carefully.,node001B;node001F
BLTAPTH,0xDFF050,blitter,OCS/ECS blitter (AGA: Alice-integrated blitter),OCS/ECS blitter (AGA: Alice-integrated blitter) (common),16,rw,chip-register,INTF_BLIT,Agnus DMA,Blitter control/pointers; use minterms and modulos carefully.,node001B;node001F
BLTAPTL,0xDFF052,blitter,OCS/ECS blitter (AGA: Alice-integrated blitter),OCS/ECS blitter (AGA: Alice-integrated blitter) (common),16,rw,chip-register,INTF_BLIT,Agnus DMA,Blitter control/pointers; use minterms and modulos carefully.,node001B;node001F
BLTDPTH,0xDFF054,blitter,OCS/ECS blitter (AGA: Alice-integrated blitter),OCS/ECS blitter (AGA: Alice-integrated blitter) (common),16,rw,chip-register,INTF_BLIT,Agnus DMA,Blitter control/pointers; use minterms and modulos carefully.,node001B;node001F
BLTDPTL,0xDFF056,blitter,OCS/ECS blitter (AGA: Alice-integrated blitter),OCS/ECS blitter (AGA: Alice-integrated blitter) (common),16,rw,chip-register,INTF_BLIT,Agnus DMA,Blitter control/pointers; use minterms and modulos carefully.,node001B;node001F
BLTSIZE,0xDFF058,blitter,OCS/ECS blitter (AGA: Alice-integrated blitter),OCS/ECS blitter (AGA: Alice-integrated blitter) (common),16,rw,chip-register,INTF_BLIT,Agnus DMA,Blitter control/pointers; use minterms and modulos carefully.,node001B;node001F
BLTCON0L,0xDFF05A,blitter,OCS/ECS blitter (AGA: Alice-integrated blitter),OCS/ECS blitter (AGA: Alice-integrated blitter) (common),16,rw,chip-register,INTF_BLIT,Agnus DMA,Blitter control/pointers; use minterms and modulos carefully.,node001B;node001F
BLTSIZV,0xDFF05C,blitter,OCS/ECS blitter (AGA: Alice-integrated blitter),OCS/ECS blitter (AGA: Alice-integrated blitter) (common),16,rw,chip-register,INTF_BLIT,Agnus DMA,Blitter control/pointers; use minterms and modulos carefully.,node001B;node001F
BLTSIZH,0xDFF05E,blitter,OCS/ECS blitter (AGA: Alice-integrated blitter),OCS/ECS blitter (AGA: Alice-integrated blitter) (common),16,rw,chip-register,INTF_BLIT,Agnus DMA,Blitter control/pointers; use minterms and modulos carefully.,node001B;node001F
BLTCMOD,0xDFF060,blitter,OCS/ECS blitter (AGA: Alice-integrated blitter),OCS/ECS blitter (AGA: Alice-integrated blitter) (common),16,rw,chip-register,INTF_BLIT,Agnus DMA,Blitter control/pointers; use minterms and modulos carefully.,node001B;node001F
BLTBMOD,0xDFF062,blitter,OCS/ECS blitter (AGA: Alice-integrated blitter),OCS/ECS blitter (AGA: Alice-integrated blitter) (common),16,rw,chip-register,INTF_BLIT,Agnus DMA,Blitter control/pointers; use minterms and modulos carefully.,node001B;node001F
BLTAMOD,0xDFF064,blitter,OCS/ECS blitter (AGA: Alice-integrated blitter),OCS/ECS blitter (AGA: Alice-integrated blitter) (common),16,rw,chip-register,INTF_BLIT,Agnus DMA,Blitter control/pointers; use minterms and modulos carefully.,node001B;node001F
BLTDMOD,0xDFF066,blitter,OCS/ECS blitter (AGA: Alice-integrated blitter),OCS/ECS blitter (AGA: Alice-integrated blitter) (common),16,rw,chip-register,INTF_BLIT,Agnus DMA,Blitter control/pointers; use minterms and modulos carefully.,node001B;node001F
BLTCDAT,0xDFF070,blitter,OCS/ECS blitter (AGA: Alice-integrated blitter),OCS/ECS blitter (AGA: Alice-integrated blitter) (common),16,rw,chip-register,INTF_BLIT,Agnus DMA,Blitter control/pointers; use minterms and modulos carefully.,node001B;node001F
BLTBDAT,0xDFF072,blitter,OCS/ECS blitter (AGA: Alice-integrated blitter),OCS/ECS blitter (AGA: Alice-integrated blitter) (common),16,rw,chip-register,INTF_BLIT,Agnus DMA,Blitter control/pointers; use minterms and modulos carefully.,node001B;node001F
BLTADAT,0xDFF074,blitter,OCS/ECS blitter (AGA: Alice-integrated blitter),OCS/ECS blitter (AGA: Alice-integrated blitter) (common),16,rw,chip-register,INTF_BLIT,Agnus DMA,Blitter control/pointers; use minterms and modulos carefully.,node001B;node001F
BLTDDAT,0xDFF000,blitter,OCS/ECS blitter (AGA: Alice-integrated blitter),OCS/ECS blitter (AGA: Alice-integrated blitter) (common),16,rw,chip-register,INTF_BLIT,Agnus DMA,Blitter control/pointers; use minterms and modulos carefully.,node001B;node001F
