register,address,chip,chipset_variant,chipset_revisions,width_bits,access,io,interrupt,relationship_to_other_chips,notes,manual_nodes
CIAAPRA,0xBFE001,cia,8520 CIA-A/B (OCS/ECS/AGA),8520 CIA-A/B (OCS/ECS/AGA) (common),16,rw,chip-register,,CIA-A/B (8520); interrupts into Paula,"CIAA 8520 (odd addresses, low byte lane); 8-bit registers; avoid 16-bit writes.",node00D3
CIAAPRB,0xBFE101,cia,8520 CIA-A/B (OCS/ECS/AGA),8520 CIA-A/B (OCS/ECS/AGA) (common),16,rw,chip-register,,CIA-A/B (8520); interrupts into Paula,"CIAA 8520 (odd addresses, low byte lane); 8-bit registers; avoid 16-bit writes.",node00D3
CIAADDR_A,0xBFE201,cia,8520 CIA-A/B (OCS/ECS/AGA),8520 CIA-A/B (OCS/ECS/AGA) (common),16,rw,chip-register,,CIA-A/B (8520); interrupts into Paula,"CIAA 8520 (odd addresses, low byte lane); 8-bit registers; avoid 16-bit writes.",node00D3
CIAADDR_B,0xBFE301,cia,8520 CIA-A/B (OCS/ECS/AGA),8520 CIA-A/B (OCS/ECS/AGA) (common),16,rw,chip-register,,CIA-A/B (8520); interrupts into Paula,"CIAA 8520 (odd addresses, low byte lane); 8-bit registers; avoid 16-bit writes.",node00D3
CIAATALO,0xBFE401,cia,8520 CIA-A/B (OCS/ECS/AGA),8520 CIA-A/B (OCS/ECS/AGA) (common),16,rw,chip-register,,CIA-A/B (8520); interrupts into Paula,"CIAA 8520 (odd addresses, low byte lane); 8-bit registers; avoid 16-bit writes.",node00D3
CIAATAHI,0xBFE501,cia,8520 CIA-A/B (OCS/ECS/AGA),8520 CIA-A/B (OCS/ECS/AGA) (common),16,rw,chip-register,,CIA-A/B (8520); interrupts into Paula,"CIAA 8520 (odd addresses, low byte lane); 8-bit registers; avoid 16-bit writes.",node00D3
CIAATBLO,0xBFE601,cia,8520 CIA-A/B (OCS/ECS/AGA),8520 CIA-A/B (OCS/ECS/AGA) (common),16,rw,chip-register,,CIA-A/B (8520); interrupts into Paula,"CIAA 8520 (odd addresses, low byte lane); 8-bit registers; avoid 16-bit writes.",node00D3
CIAATBHI,0xBFE701,cia,8520 CIA-A/B (OCS/ECS/AGA),8520 CIA-A/B (OCS/ECS/AGA) (common),16,rw,chip-register,,CIA-A/B (8520); interrupts into Paula,"CIAA 8520 (odd addresses, low byte lane); 8-bit registers; avoid 16-bit writes.",node00D3
CIAATODLOW,0xBFE801,cia,8520 CIA-A/B (OCS/ECS/AGA),8520 CIA-A/B (OCS/ECS/AGA) (common),16,rw,chip-register,,CIA-A/B (8520); interrupts into Paula,"CIAA 8520 (odd addresses, low byte lane); 8-bit registers; avoid 16-bit writes.",node00D3
CIAATODMID,0xBFE901,cia,8520 CIA-A/B (OCS/ECS/AGA),8520 CIA-A/B (OCS/ECS/AGA) (common),16,rw,chip-register,,CIA-A/B (8520); interrupts into Paula,"CIAA 8520 (odd addresses, low byte lane); 8-bit registers; avoid 16-bit writes.",node00D3
CIAATODHI,0xBFEA01,cia,8520 CIA-A/B (OCS/ECS/AGA),8520 CIA-A/B (OCS/ECS/AGA) (common),16,rw,chip-register,,CIA-A/B (8520); interrupts into Paula,"CIAA 8520 (odd addresses, low byte lane); 8-bit registers; avoid 16-bit writes.",node00D3
CIAASDR,0xBFEC01,cia,8520 CIA-A/B (OCS/ECS/AGA),8520 CIA-A/B (OCS/ECS/AGA) (common),16,rw,chip-register,,CIA-A/B (8520); interrupts into Paula,"CIAA 8520 (odd addresses, low byte lane); 8-bit registers; avoid 16-bit writes.",node00D3
CIAAICR,0xBFED01,cia,8520 CIA-A/B (OCS/ECS/AGA),8520 CIA-A/B (OCS/ECS/AGA) (common),16,rw,chip-register,,CIA-A/B (8520); interrupts into Paula,"CIAA 8520 (odd addresses, low byte lane); 8-bit registers; avoid 16-bit writes.",node00D3
CIAACRA,0xBFEE01,cia,8520 CIA-A/B (OCS/ECS/AGA),8520 CIA-A/B (OCS/ECS/AGA) (common),16,rw,chip-register,,CIA-A/B (8520); interrupts into Paula,"CIAA 8520 (odd addresses, low byte lane); 8-bit registers; avoid 16-bit writes.",node00D3
CIAACRB,0xBFEF01,cia,8520 CIA-A/B (OCS/ECS/AGA),8520 CIA-A/B (OCS/ECS/AGA) (common),16,rw,chip-register,,CIA-A/B (8520); interrupts into Paula,"CIAA 8520 (odd addresses, low byte lane); 8-bit registers; avoid 16-bit writes.",node00D3
CIABPRA,0xBFD000,cia,8520 CIA-A/B (OCS/ECS/AGA),8520 CIA-A/B (OCS/ECS/AGA) (common),16,rw,chip-register,,CIA-A/B (8520); interrupts into Paula,"CIAB 8520 (even addresses, high byte lane); 8-bit registers; avoid 16-bit writes.",node00D3
CIABPRB,0xBFD100,cia,8520 CIA-A/B (OCS/ECS/AGA),8520 CIA-A/B (OCS/ECS/AGA) (common),16,rw,chip-register,,CIA-A/B (8520); interrupts into Paula,"CIAB 8520 (even addresses, high byte lane); 8-bit registers; avoid 16-bit writes.",node00D3
CIABDDRA,0xBFD200,cia,8520 CIA-A/B (OCS/ECS/AGA),8520 CIA-A/B (OCS/ECS/AGA) (common),16,rw,chip-register,,CIA-A/B (8520); interrupts into Paula,"CIAB 8520 (even addresses, high byte lane); 8-bit registers; avoid 16-bit writes.",node00D3
CIABDDRB,0xBFD300,cia,8520 CIA-A/B (OCS/ECS/AGA),8520 CIA-A/B (OCS/ECS/AGA) (common),16,rw,chip-register,,CIA-A/B (8520); interrupts into Paula,"CIAB 8520 (even addresses, high byte lane); 8-bit registers; avoid 16-bit writes.",node00D3
CIABTALO,0xBFD400,cia,8520 CIA-A/B (OCS/ECS/AGA),8520 CIA-A/B (OCS/ECS/AGA) (common),16,rw,chip-register,,CIA-A/B (8520); interrupts into Paula,"CIAB 8520 (even addresses, high byte lane); 8-bit registers; avoid 16-bit writes.",node00D3
CIABTAHI,0xBFD500,cia,8520 CIA-A/B (OCS/ECS/AGA),8520 CIA-A/B (OCS/ECS/AGA) (common),16,rw,chip-register,,CIA-A/B (8520); interrupts into Paula,"CIAB 8520 (even addresses, high byte lane); 8-bit registers; avoid 16-bit writes.",node00D3
