register,address,chip,chipset_variant,chipset_revisions,width_bits,access,io,interrupt,relationship_to_other_chips,notes,manual_nodes
JOY0DAT,0xDFF00A,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes) (common),16,rw,chip-register,,,Joystick/mouse quadrature counters; XOR low bits for fwd/back; also used for light pen position latch.,node0038;node017E;node0180;node0183
JOY1DAT,0xDFF00C,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes) (common),16,rw,chip-register,,,Joystick/mouse quadrature counters; XOR low bits for fwd/back; also used for light pen position latch.,node0038;node017E;node0180;node0183
CLXDAT,0xDFF00E,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes) (common),16,rw,chip-register,,,Collision registers; Denise/Paula shared space; read clears.,node0025;node015D
CLXCON,0xDFF098,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes) (common),16,rw,chip-register,,,Collision registers; Denise/Paula shared space; read clears.,node0025;node015D
SPR0POS,0xDFF140,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes) (common),16,rw,chip-register,,Agnus DMA,Sprite pointers/data; even addresses; DMA fetch during hblank.,node003F
SPR0CTL,0xDFF142,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes) (common),16,rw,chip-register,,Agnus DMA,Sprite pointers/data; even addresses; DMA fetch during hblank.,node003F
SPR0DATA,0xDFF144,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes) (common),16,rw,chip-register,,Agnus DMA,Sprite pointers/data; even addresses; DMA fetch during hblank.,node003F
SPR0DATB,0xDFF146,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes) (common),16,rw,chip-register,,Agnus DMA,Sprite pointers/data; even addresses; DMA fetch during hblank.,node003F
SPR1POS,0xDFF148,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes) (common),16,rw,chip-register,,Agnus DMA,Sprite pointers/data; even addresses; DMA fetch during hblank.,node003F
SPR1CTL,0xDFF14A,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes) (common),16,rw,chip-register,,Agnus DMA,Sprite pointers/data; even addresses; DMA fetch during hblank.,node003F
SPR1DATA,0xDFF14C,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes) (common),16,rw,chip-register,,Agnus DMA,Sprite pointers/data; even addresses; DMA fetch during hblank.,node003F
SPR1DATB,0xDFF14E,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes) (common),16,rw,chip-register,,Agnus DMA,Sprite pointers/data; even addresses; DMA fetch during hblank.,node003F
SPR2POS,0xDFF150,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes) (common),16,rw,chip-register,,Agnus DMA,Sprite pointers/data; even addresses; DMA fetch during hblank.,node003F
SPR2CTL,0xDFF152,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes) (common),16,rw,chip-register,,Agnus DMA,Sprite pointers/data; even addresses; DMA fetch during hblank.,node003F
SPR2DATA,0xDFF154,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes) (common),16,rw,chip-register,,Agnus DMA,Sprite pointers/data; even addresses; DMA fetch during hblank.,node003F
SPR2DATB,0xDFF156,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes) (common),16,rw,chip-register,,Agnus DMA,Sprite pointers/data; even addresses; DMA fetch during hblank.,node003F
SPR3POS,0xDFF158,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes) (common),16,rw,chip-register,,Agnus DMA,Sprite pointers/data; even addresses; DMA fetch during hblank.,node003F
SPR3CTL,0xDFF15A,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes) (common),16,rw,chip-register,,Agnus DMA,Sprite pointers/data; even addresses; DMA fetch during hblank.,node003F
SPR3DATA,0xDFF15C,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes) (common),16,rw,chip-register,,Agnus DMA,Sprite pointers/data; even addresses; DMA fetch during hblank.,node003F
SPR3DATB,0xDFF15E,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes) (common),16,rw,chip-register,,Agnus DMA,Sprite pointers/data; even addresses; DMA fetch during hblank.,node003F
SPR4POS,0xDFF160,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes) (common),16,rw,chip-register,,Agnus DMA,Sprite pointers/data; even addresses; DMA fetch during hblank.,node003F
SPR4CTL,0xDFF162,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes) (common),16,rw,chip-register,,Agnus DMA,Sprite pointers/data; even addresses; DMA fetch during hblank.,node003F
SPR4DATA,0xDFF164,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes) (common),16,rw,chip-register,,Agnus DMA,Sprite pointers/data; even addresses; DMA fetch during hblank.,node003F
SPR4DATB,0xDFF166,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes) (common),16,rw,chip-register,,Agnus DMA,Sprite pointers/data; even addresses; DMA fetch during hblank.,node003F
SPR5POS,0xDFF168,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes) (common),16,rw,chip-register,,Agnus DMA,Sprite pointers/data; even addresses; DMA fetch during hblank.,node003F
SPR5CTL,0xDFF16A,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes) (common),16,rw,chip-register,,Agnus DMA,Sprite pointers/data; even addresses; DMA fetch during hblank.,node003F
SPR5DATA,0xDFF16C,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes) (common),16,rw,chip-register,,Agnus DMA,Sprite pointers/data; even addresses; DMA fetch during hblank.,node003F
