register,address,chip,chipset_variant,chipset_revisions,width_bits,access,io,interrupt,relationship_to_other_chips,notes,manual_nodes
AUD0LCH,0xDFF0A0,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS/AGA; ECS/AGA widen high address bits (5 vs 3).,16,rw,chip-register,INTF_AUD0,Paula audio DMA via Agnus,Audio channel; length in words; period >=123 PAL/124 NTSC; even addresses.,node00DB;node00E0;node00F2
AUD0LCL,0xDFF0A2,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,INTF_AUD0,Paula audio DMA via Agnus,Audio channel; length in words; period >=123 PAL/124 NTSC; even addresses.,node00DB;node00E0;node00F2
AUD0LEN,0xDFF0A4,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,INTF_AUD0,Paula audio DMA via Agnus,Audio channel; length in words; period >=123 PAL/124 NTSC; even addresses.,node00DB;node00E0;node00F2
AUD0PER,0xDFF0A6,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,INTF_AUD0,Paula audio DMA via Agnus,Audio channel; length in words; period >=123 PAL/124 NTSC; even addresses.,node00DB;node00E0;node00F2
AUD0VOL,0xDFF0A8,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,INTF_AUD0,Paula audio DMA via Agnus,Audio channel; length in words; period >=123 PAL/124 NTSC; even addresses.,node00DB;node00E0;node00F2
AUD0DAT,0xDFF0AA,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,INTF_AUD0,Paula audio DMA via Agnus,Audio channel; length in words; period >=123 PAL/124 NTSC; even addresses.,node00DB;node00E0;node00F2
AUD1LCH,0xDFF0B0,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS/AGA; ECS/AGA widen high address bits (5 vs 3).,16,rw,chip-register,INTF_AUD1,Paula audio DMA via Agnus,Audio channel; length in words; period >=123 PAL/124 NTSC; even addresses.,node00DB;node00E0;node00F2
AUD1LCL,0xDFF0B2,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,INTF_AUD1,Paula audio DMA via Agnus,Audio channel; length in words; period >=123 PAL/124 NTSC; even addresses.,node00DB;node00E0;node00F2
AUD1LEN,0xDFF0B4,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,INTF_AUD1,Paula audio DMA via Agnus,Audio channel; length in words; period >=123 PAL/124 NTSC; even addresses.,node00DB;node00E0;node00F2
AUD1PER,0xDFF0B6,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,INTF_AUD1,Paula audio DMA via Agnus,Audio channel; length in words; period >=123 PAL/124 NTSC; even addresses.,node00DB;node00E0;node00F2
AUD1VOL,0xDFF0B8,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,INTF_AUD1,Paula audio DMA via Agnus,Audio channel; length in words; period >=123 PAL/124 NTSC; even addresses.,node00DB;node00E0;node00F2
AUD1DAT,0xDFF0BA,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,INTF_AUD1,Paula audio DMA via Agnus,Audio channel; length in words; period >=123 PAL/124 NTSC; even addresses.,node00DB;node00E0;node00F2
AUD2LCH,0xDFF0C0,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS/AGA; ECS/AGA widen high address bits (5 vs 3).,16,rw,chip-register,INTF_AUD2,Paula audio DMA via Agnus,Audio channel; length in words; period >=123 PAL/124 NTSC; even addresses.,node00DB;node00E0;node00F2
AUD2LCL,0xDFF0C2,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,INTF_AUD2,Paula audio DMA via Agnus,Audio channel; length in words; period >=123 PAL/124 NTSC; even addresses.,node00DB;node00E0;node00F2
AUD2LEN,0xDFF0C4,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,INTF_AUD2,Paula audio DMA via Agnus,Audio channel; length in words; period >=123 PAL/124 NTSC; even addresses.,node00DB;node00E0;node00F2
AUD2PER,0xDFF0C6,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,INTF_AUD2,Paula audio DMA via Agnus,Audio channel; length in words; period >=123 PAL/124 NTSC; even addresses.,node00DB;node00E0;node00F2
AUD2VOL,0xDFF0C8,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,INTF_AUD2,Paula audio DMA via Agnus,Audio channel; length in words; period >=123 PAL/124 NTSC; even addresses.,node00DB;node00E0;node00F2
AUD2DAT,0xDFF0CA,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,INTF_AUD2,Paula audio DMA via Agnus,Audio channel; length in words; period >=123 PAL/124 NTSC; even addresses.,node00DB;node00E0;node00F2
AUD3LCH,0xDFF0D0,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS/AGA; ECS/AGA widen high address bits (5 vs 3).,16,rw,chip-register,INTF_AUD3,Paula audio DMA via Agnus,Audio channel; length in words; period >=123 PAL/124 NTSC; even addresses.,node00DB;node00E0;node00F2
AUD3LCL,0xDFF0D2,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,INTF_AUD3,Paula audio DMA via Agnus,Audio channel; length in words; period >=123 PAL/124 NTSC; even addresses.,node00DB;node00E0;node00F2
AUD3LEN,0xDFF0D4,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,INTF_AUD3,Paula audio DMA via Agnus,Audio channel; length in words; period >=123 PAL/124 NTSC; even addresses.,node00DB;node00E0;node00F2
AUD3PER,0xDFF0D6,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,INTF_AUD3,Paula audio DMA via Agnus,Audio channel; length in words; period >=123 PAL/124 NTSC; even addresses.,node00DB;node00E0;node00F2
